117.36589,77.967163;118.78505,77.986471
117.37554,79.958505;117.26102,80.903235
117.51879,45.646514;116.41984,49.23224
117.7424,75.196414;117.7424,76.538345
117.7424,76.538345;117.20177,76.741082
117.7477,81.218145;117.7477,82.477785
117.7477,82.477785;110.36163,82.678182
118.77535,75.775664;158.74365,52.287048
118.78505,77.986471;118.77535,75.775664
118.80694,79.700851;117.37554,79.958505
118.83557,85.168834;118.80694,79.700851
119.1607,53.323928;115.73994,55.067551
12.043146,50.77401;12.214814,50.206186
12.148788,49.136565;14.274826,48.581946
12.214814,50.206186;12.439302,50.575932
12.294045,44.66;11.752632,44.778847
12.373276,43.894099;12.558149,44.224229
12.425585,65.961122;13.56693,66.564097
12.439302,50.575932;12.624175,50.047724
12.558149,44.224229;11.884684,44.237434
12.624175,50.047724;12.743022,50.721189
12.663791,43.894099;12.373276,43.894099
12.743022,43.418711;12.663791,43.894099
12.743022,50.721189;12.927895,49.78362
12.927895,43.841278;12.743022,43.418711
12.927895,49.78362;13.033537,50.44388
120.83182,61.661255;123.4481,64.3065
122.55019,41.686744;123.22599,43.057637
122.79162,59.508373;120.83182,61.661255
123.22599,43.057637;123.77627,42.980403
123.4481,64.3065;116.66122,65.503618
123.7087,41.957061;138.42166,38.732565
123.77627,42.980403;123.7087,41.957061
123.83426,44.62163;124.71279,45.654627
123.90185,56.930708;126.2092,58.040938
124.40386,46.069757;124.65487,46.67797
124.5873,62.839065;126.103,60.7248
124.65487,46.67797;125.39824,46.513849
124.71279,45.654627;124.40386,46.069757
124.819,60.946846;122.79162,59.508373
124.85761,54.661976;123.90185,56.930708
124.95414,44.254771;123.83426,44.62163
125.01195,37.718904;110.52103,31.154063
125.31136,60.213128;124.819,60.946846
125.39824,46.513849;125.41755,47.402033
125.41755,47.402033;128.84478,47.421342
125.60098,54.623359;124.85761,54.661976
125.61068,54.14065;125.60098,54.623359
125.82303,58.678114;127.09738,59.382869
125.96771,39.00291;125.01195,37.718904
126.103,60.7248;125.31136,60.213128
126.2092,58.040938;125.82303,58.678114
126.84676,39.682934;127.65478,44.090456
127.08936,44.153763;126.84676,39.682934
127.09738,59.382869;127.61871,58.475376
127.22276,38.114725;125.96771,39.00291
127.41218,39.619627;128.22022,44.063418
127.61871,58.475376;132.32995,61.101313
127.65478,44.090456;127.41218,39.619627
127.97762,39.592589;128.78566,44.03638
128.22022,44.063418;127.97762,39.592589
128.54306,39.565551;129.3511,43.955265
128.78566,44.03638;128.54306,39.565551
128.84478,47.421342;128.85448,48.106788
128.85448,48.106788;130.78532,48.174368
128.9993,54.14065;125.61068,54.14065
129.1085,39.484436;129.91653,43.982304
129.3511,43.955265;129.1085,39.484436
129.40473,67.019324;124.5873,62.839065
129.52062,53.300736;128.9993,54.14065
129.67393,39.511475;130.48197,43.982303
129.91653,43.982304;129.67393,39.511475
13.033537,50.44388;13.191999,49.902467
13.059947,43.141402;12.927895,43.841278
13.093164,66.951723;13.739209,66.994793
13.165589,43.431917;13.059947,43.141402
13.191999,49.902467;13.390077,50.14016
13.297641,43.114992;13.165589,43.431917
13.390077,50.14016;13.522129,49.770415
13.469308,43.326275;13.297641,43.114992
13.522129,49.770415;13.733412,49.876056
13.56693,66.564097;13.093164,66.951723
13.56693,67.360885;17.809288,67.317815
13.733412,49.876056;14.103158,49.096949
13.739209,66.994793;13.56693,67.360885
13.759823,43.022555;13.469308,43.326275
13.957901,43.524353;13.759823,43.022555
130.23937,39.511474;131.0474,43.901189
130.48197,43.982303;130.23937,39.511474
130.78532,48.174368;129.52062,53.300736
130.8048,39.43036;131.60847,44.203134
131.0474,43.901189;130.8048,39.43036
131.37461,39.290643;132.17198,44.333353
131.60847,44.203134;131.37461,39.290643
131.94196,39.2145;132.74045,43.979059
132.17198,44.333353;131.94196,39.2145
132.32995,61.101313;129.40473,67.019324
132.50435,39.18442;133.30561,43.951736
132.74045,43.979059;132.50435,39.18442
133.07007,39.127639;133.86965,44.004414
133.30561,43.951736;133.07007,39.127639
133.63691,39.032978;134.43585,43.924063
133.86965,44.004414;133.63691,39.032978
134.20157,39.033673;135.00038,43.923161
134.43585,43.924063;134.20157,39.033673
134.76792,38.936987;135.56631,43.896606
135.00038,43.923161;134.76792,38.936987
135.33287,38.962013;136.13105,43.949993
